"order_id,date,product_id,quantity,price,customer_id,region,status,payment_method,delivery_days,rating,comment"
"1,2024-01-05,101,2,50000,C001,Москва,Доставлен,Карта,3,5,"
"2,2024-01-05,102,1,30000,C002,Питер,Доставлен,Наличные,5,4,"
"3,2024-01-06,101,1,50000,C003,Москва,Отменён,Карта,,,"
"4,2024-01-06,103,,2000,C004,Казань,Доставлен,Карта,2,3,Быстрая доставка"
"5,2024-01-07,102,3,30000,C001,Москва,Доставлен,Наличные,4,5,Постоянный клиент"
"6,2024-01-07,104,1,15000,C005,Питер,В пути,Карта,,4,"
"7,2024-01-08,101,2,50000,C006,Москва,Доставлен,Карта,3,5,"
"8,2024-01-08,103,5,2000,C002,Питер,Доставлен,Наличные,6,2,Брак упаковки"
"9,2024-01-09,102,1,30000,C007,Казань,Отменён,Карта,,,"
"10,2024-01-09,105,2,,C008,Москва,Доставлен,Наличные,4,4,Нет цены"
"11,2024-01-10,101,1,50000,C003,Москва,В пути,Карта,,5,"
"12,2024-01-10,104,3,,C009,Питер,Доставлен,Карта,3,,Цена не указана"
"13,2024-01-11,102,2,30000,C010,Казань,Доставлен,Наличные,2,5,"
"14,2024-01-11,103,1,2000,C001,Москва,Доставлен,Карта,1,4,"
"15,2024-01-12,105,1,12000,C011,Питер,В пути,Карта,,5,"
"16,2024-01-12,101,3,50000,C005,Москва,Доставлен,Наличные,5,3,"
"17,2024-01-13,102,1,30000,C012,Казань,Доставлен,Карта,3,5,"
"18,2024-01-13,104,2,15000,C006,Питер,Отменён,Карта,,,"
"19,2024-01-14,103,4,-2000,C013,Москва,Доставлен,Наличные,4,1,Отрицательная цена"
"20,2024-01-14,105,1,12000,C014,Питер,Доставлен,Карта,2,5,"
"21,2024-01-15,101,2,50000,C002,Москва,Доставлен,Наличные,3,4,"
"22,2024-01-15,102,1,30000,C015,Казань,В пути,Карта,,,"
"23,2024-01-16,101,1,50000,C008,Москва,Доставлен,Карта,1,5,"
"24,2024-01-16,103,2,текст,C016,Питер,Доставлен,Наличные,5,3,Текст вместо цены"
"25,2024-01-17,104,1,15000,C010,Москва,Доставлен,Карта,2,4,"
"26,2024-01-17,105,3,12000,C017,Казань,Доставлен,Наличные,4,5,"
"27,2024-01-18,102,2,30000,C007,Питер,Доставлен,Карта,3,4,"
"28,2024-01-18,101,1,50000,C018,Москва,В пути,Карта,,,"
"29,2024-01-19,103,2,,C019,Казань,Доставлен,Наличные,6,3,Цена не указана"
"30,2024-01-19,105,1,12000,C011,Питер,Доставлен,Карта,1,5,"
"31,2024-01-20,104,2,15000,C001,Москва,Отменён,Наличные,,,"
"32,2024-01-20,102,1,30000,C020,Казань,Доставлен,Карта,2,4,"
"33,2024-01-21,101,3,50000,C005,Москва,Доставлен,Наличные,5,5,"
"34,2024-01-21,103,1,2000,C009,Питер,Доставлен,Карта,3,4,"
"35,2024-01-22,105,2,12000,C021,Москва,Доставлен,Карта,4,3,"
"36,2024-01-22,104,1,15000,C013,Казань,В пути,Наличные,,,"
"37,2024-01-23,102,3,30000,C006,Питер,Доставлен,Карта,2,5,"
"38,2024-01-23,101,1,50000,C022,Москва,Доставлен,Наличные,1,5,"
"39,2024-01-24,103,2,2000,C016,Казань,Доставлен,Карта,3,4,"
"40,2024-01-24,105,1,,C023,Питер,Доставлен,Наличные,5,,Нет цены"
"41,2024-01-25,104,2,15000,C002,Москва,Доставлен,Карта,2,5,"
"42,2024-01-25,102,1,30000,C024,Казань,Отменён,Карта,,,"
"43,2024-01-26,101,1,50000,C010,Питер,Доставлен,Наличные,4,4,"
"44,2024-01-26,103,2,-2000,C025,Москва,Доставлен,Карта,3,2,Отрицательная цена"
"45,2024-01-27,105,1,12000,C017,Казань,Доставлен,Наличные,2,5,"
"46,2024-01-27,104,3,15000,C008,Питер,Доставлен,Карта,5,4,"
"47,2024-01-28,102,2,30000,C019,Москва,В пути,Наличные,,,"
"48,2024-01-28,101,1,50000,C026,Казань,Доставлен,Карта,1,5,"
"49,2024-01-29,103,2,2000,C001,Питер,Доставлен,Наличные,3,3,"
"50,2024-01-29,105,1,12000,C027,Москва,Доставлен,Карта,2,5,"
